date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2020-07-23 14:00:00 EDT",1595527200,100.64,101.55,NNE,2,10,,69,18,24,,30,24100,,,5,,2595,24.5,23
"2020-07-23 13:00:00 EDT",1595523600,100.66,101.58,NNE,2,5,,78,18.6,22.6,,29,24100,1.8,,4,,1980,23.1,20.8
"2020-07-23 12:00:00 EDT",1595520000,100.69,101.61,NNE,2,6,,84,18.5,21.2,,28,24100,1.7,,7,,1007,20.9,20.2
"2020-07-23 11:00:00 EDT",1595516400,100.68,101.6,ENE,6,5,,91,18.1,19.6,,,24100,1.6,,8,,547,20.2,19.4
"2020-07-23 10:00:00 EDT",1595512800,100.66,101.58,E,8,7,,91,17.7,19.2,,,16100,1.5,,8,,185,19.4,19.1
"2020-07-23 09:00:00 EDT",1595509200,100.64,101.56,ENE,7,8,,91,17.5,18.9,,,24100,1.4,,8,,137,19.2,18.9
"2020-07-23 08:00:00 EDT",1595505600,100.62,101.54,ENE,6,7,,93,17.2,18.4,,,16100,1.4,,8,,103,18.9,18.6
"2020-07-23 07:00:00 EDT",1595502000,100.55,101.47,NE,5,13,,95,17.2,17.9,,,24100,1.3,,8,,45,18.6,18.4
"2020-07-23 06:00:00 EDT",1595498400,100.52,101.44,NE,4,10,,97,17.2,17.8,,,9700,1.3,,8,,,18.5,18.3
"2020-07-23 05:00:00 EDT",1595494800,100.45,101.37,NNE,2,14,,97,17.6,18,,,6400,1.3,,8,,,18.7,18.5
"2020-07-23 04:00:00 EDT",1595491200,100.41,101.33,NE,4,11,,96,17.4,18.1,,,12900,1.4,,8,,,18.8,18.6
"2020-07-23 03:00:00 EDT",1595487600,100.39,101.3,NE,4,10,,96,17.5,18.2,,,24100,1.4,,8,,,18.7,18.6
"2020-07-23 02:00:00 EDT",1595484000,100.39,101.3,NNE,3,14,,96,17.5,18.2,,,24100,1.5,,8,,,18.7,18.6
"2020-07-23 01:00:00 EDT",1595480400,100.4,101.31,NE,5,11,,96,17.5,18.1,,,24100,1.5,,8,,,18.6,18.5
"2020-07-23 00:00:00 EDT",1595476800,100.01,101.3,NE,4,12,,97,17.6,18.1,,,16100,1.6,,7,,,18.5,18.4
