date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2020-07-27 22:00:00 EDT",1595901600,99.38,100.26,WSW,25,12,,88,22.4,24.5,,34,24100,,,8,,,26.7,25.8
"2020-07-27 21:00:00 EDT",1595898000,99.33,100.22,SSW,20,6,,93,22.4,23.6,,33,24100,2.2,,7,,22,25.8,24.8
"2020-07-27 20:00:00 EDT",1595894400,99.32,100.21,ENE,7,5,,92,22.9,24.3,,34,24100,2.3,,6,,112,30.2,25.3
"2020-07-27 19:00:00 EDT",1595890800,99.25,100.14,SW,22,11,,63,21.1,28.7,,37,9700,2.4,,6,,737,31.1,30.2
"2020-07-27 18:00:00 EDT",1595887200,99.25,100.13,WNW,30,19,30,52,20.3,31.1,,39,24100,2.5,,4,,1693,31,30.7
"2020-07-27 17:00:00 EDT",1595883600,99.29,100.17,WNW,29,22,32,55,20.8,30.6,,39,24100,2.4,,2,,2143,31.2,30.3
"2020-07-27 16:00:00 EDT",1595880000,99.31,100.19,WNW,29,24,36,60,22.1,30.6,,40,24100,2.3,,3,,2671,31.1,29.3
"2020-07-27 15:00:00 EDT",1595876400,99.33,100.21,W,28,16,31,83,24.4,27.6,,39,24100,2.3,,5,,1840,30.9,26.9
"2020-07-27 14:00:00 EDT",1595872800,99.33,100.21,W,27,22,34,81,24.6,28.2,,40,24100,2.5,,7,,2766,31.5,30.2
"2020-07-27 13:00:00 EDT",1595869200,99.34,100.22,W,27,19,31,83,23.4,26.4,,37,24100,2.7,,6,,2165,30.6,27.1
"2020-07-27 12:00:00 EDT",1595865600,99.37,100.25,SW,22,23,39,65,22.5,29.7,,39,24100,2.7,,7,,1681,29.7,27.5
"2020-07-27 11:00:00 EDT",1595862000,99.42,100.3,SW,22,19,33,68,22.1,28.3,,38,24100,2.6,,6,,1731,27.7,25.6
"2020-07-27 10:00:00 EDT",1595858400,99.46,100.35,SSW,21,17,,79,22,25.9,,35,24100,2.4,,8,,586,25.6,24.1
"2020-07-27 09:00:00 EDT",1595854800,99.56,100.44,SSW,21,14,,84,21.4,24.2,,33,24100,2.2,,8,,217,24.5,23.9
"2020-07-27 08:00:00 EDT",1595851200,99.6,100.48,SSW,20,11,,87,22,24.3,,34,24100,2.1,,8,,217,24.5,24.3
"2020-07-27 07:00:00 EDT",1595847600,99.62,100.5,SSW,21,15,,88,22.2,24.2,,34,16100,2.1,,8,,51,25,24.5
"2020-07-27 06:00:00 EDT",1595844000,99.63,100.51,SW,22,9,,91,22.2,23.7,,33,24100,2.2,,8,,,25.7,25
"2020-07-27 05:00:00 EDT",1595840400,99.62,100.5,SW,23,13,,86,21.9,24.3,,34,24100,2.3,,8,,,26.8,25.7
"2020-07-27 04:00:00 EDT",1595836800,99.63,100.51,SW,22,12,,77,22.5,26.8,,37,24140,2.3,,8,,,27.7,26.8
"2020-07-27 03:00:00 EDT",1595833200,99.66,100.54,SW,22,15,,79,22.4,26.3,,36,24100,2.3,,8,,,28,27.6
"2020-07-27 02:00:00 EDT",1595829600,99.72,100.59,SW,22,12,,73,21.6,26.8,,36,24100,2.3,,8,,,28.3,27.9
"2020-07-27 01:00:00 EDT",1595826000,99.75,100.63,WSW,24,13,,69,21.9,27.9,,37,24100,2.3,,8,,,28.8,28.2
"2020-07-27 00:00:00 EDT",1595822400,99.41,100.65,W,26,14,,67,21.7,28.3,,37,24100,2.4,,7,,,29.1,28.8
"2020-07-26 23:00:00 EDT",1595818800,99.41,100.66,WSW,25,12,,64,21,28.2,,37,24100,2.4,,6,,,29.9,29.1
"2020-07-26 22:00:00 EDT",1595815200,99.41,100.66,WSW,25,12,,60,20.5,28.9,,37,24100,2.5,,6,,,30.6,29.9
